backbone,dataset,metric,value
mobilenet_v3_l,assembly,mpjpe.ra,48.30405273126642
mobilenet_v3_l,assembly,mpjpe.pa.ra,16.13146901215877
mobilenet_v3_l,assembly,mrrpe.rl,90.4685494884268
mobilenet_v3_l,assembly,pix_err,8.578943573326255
mobilenet_v3_l,h2o,mpjpe.ra,48.78299981464935
mobilenet_v3_l,h2o,mpjpe.pa.ra,11.529783742039916
mobilenet_v3_l,h2o,mrrpe.rl,85.3617736114356
mobilenet_v3_l,h2o,pix_err,10.537538832847009
mobilenet_v3_l,epic_handkps,pix_err,10.692215546504388
mobilenet_v3_l,egoexo,mpjpe.ra,116.90565318093296
mobilenet_v3_l,egoexo,mpjpe.pa.ra,15.608722396366002
mobilenet_v3_l,egoexo,pix_err,26.020264196012462
mobilenet_v3_l,arctic,mpjpe.ra,36.07234595221381
mobilenet_v3_l,arctic,mpjpe.pa.ra,11.993747639229058
mobilenet_v3_l,arctic,mrrpe.rl,58.40536146917886
mobilenet_v3_l,arctic,pix_err,10.037778875867586
resnet50-arctic,assembly,mpjpe.ra,36.58073697315546
resnet50-arctic,assembly,mpjpe.pa.ra,14.33671416388958
resnet50-arctic,assembly,mrrpe.rl,79.3808008277571
resnet50-arctic,assembly,pix_err,7.217171289538399
resnet50-arctic,h2o,mpjpe.ra,117.42979116781102
resnet50-arctic,h2o,mpjpe.pa.ra,38.66257415803997
resnet50-arctic,h2o,mrrpe.rl,13285.407846016706
resnet50-arctic,h2o,pix_err,1177.189039331508
resnet50-arctic,epic_handkps,pix_err,6489.547911649193
resnet50-arctic,egoexo,mpjpe.ra,147.79917254489067
resnet50-arctic,egoexo,mpjpe.pa.ra,31.38938592069685
resnet50-arctic,egoexo,pix_err,1420.0656047700868
resnet50-arctic,arctic,mpjpe.ra,39.90817026474439
resnet50-arctic,arctic,mpjpe.pa.ra,11.409704504783845
resnet50-arctic,arctic,mrrpe.rl,70.49002371217937
resnet50-arctic,arctic,pix_err,10.601888553749696
resnet50,assembly,mpjpe.ra,48.98715971885395
resnet50,assembly,mpjpe.pa.ra,16.23082826496837
resnet50,assembly,mrrpe.rl,88.2643386399075
resnet50,assembly,pix_err,9.063302817281023
resnet50,h2o,mpjpe.ra,87.04896454498193
resnet50,h2o,mpjpe.pa.ra,21.687737481003044
resnet50,h2o,mrrpe.rl,341.2469298995634
resnet50,h2o,pix_err,134.7671370323369
resnet50,epic_handkps,pix_err,609.006428775461
resnet50,egoexo,mpjpe.ra,133.2289270361436
resnet50,egoexo,mpjpe.pa.ra,25.66436689126652
resnet50,egoexo,pix_err,118.90807523210624
resnet50,arctic,mpjpe.ra,40.652167315812
resnet50,arctic,mpjpe.pa.ra,12.161456938325433
resnet50,arctic,mrrpe.rl,70.71055107374627
resnet50,arctic,pix_err,11.860676570084667
resnet101,assembly,mpjpe.ra,37.45010409102326
resnet101,assembly,mpjpe.pa.ra,14.733708940848564
resnet101,assembly,mrrpe.rl,75.02427113881875
resnet101,assembly,pix_err,6.8745068279505
resnet101,h2o,mpjpe.ra,113.37835227034212
resnet101,h2o,mpjpe.pa.ra,37.48564095040236
resnet101,h2o,mrrpe.rl,3848.4160420301578
resnet101,h2o,pix_err,1487.6416685625757
resnet101,epic_handkps,pix_err,7927.738948601738
resnet101,egoexo,mpjpe.ra,134.32496126531822
resnet101,egoexo,mpjpe.pa.ra,32.24906765821011
resnet101,egoexo,pix_err,393.2313462489323
resnet101,arctic,mpjpe.ra,36.529114443815104
resnet101,arctic,mpjpe.pa.ra,11.70401503979263
resnet101,arctic,mrrpe.rl,64.21976665319583
resnet101,arctic,pix_err,10.727428680839829
convnext_l,assembly,mpjpe.ra,39.64542853172964
convnext_l,assembly,mpjpe.pa.ra,19.73943645749324
convnext_l,assembly,mrrpe.rl,84.03555271739052
convnext_l,assembly,pix_err,7.194065081259995
convnext_l,h2o,mpjpe.ra,138.75053471581785
convnext_l,h2o,mpjpe.pa.ra,34.879607721857894
convnext_l,h2o,mrrpe.rl,4829.9826012195535
convnext_l,h2o,pix_err,1389.1481641046837
convnext_l,epic_handkps,pix_err,16027.08622144406
convnext_l,egoexo,mpjpe.ra,154.94004658435637
convnext_l,egoexo,mpjpe.pa.ra,32.12628399178657
convnext_l,egoexo,pix_err,612.3404869178894
convnext_l,arctic,mpjpe.ra,35.71525966595182
convnext_l,arctic,mpjpe.pa.ra,11.246067372157285
convnext_l,arctic,mrrpe.rl,53.29307795695227
convnext_l,arctic,pix_err,9.91090486324386
