backbone,dataset,metric,value
resnet50,assembly,mpjpe,48.98715971885395
resnet50,assembly,mrrpe,87.74101409457978
resnet50,assembly,pix_err,9.063302817281023
resnet50,h2o,mpjpe,87.04896454498193
resnet50,h2o,mrrpe,294.37821393910974
resnet50,h2o,pix_err,118.77527803940058
resnet50,epic_handkps,pix_err,296.4028495165633
resnet50,egoexo,mpjpe,133.2289270361436
resnet50,egoexo,pix_err,115.04309054684944
resnet50,arctic,mpjpe,40.652167315812
resnet50,arctic,mrrpe,70.71055107374627
resnet50,arctic,pix_err,11.860676570084667
resnet50-arctic,assembly,mpjpe,36.58073697315546
resnet50-arctic,assembly,mrrpe,78.71514091089175
resnet50-arctic,assembly,pix_err,7.217171289538399
resnet50-arctic,h2o,mpjpe,117.42979116781102
resnet50-arctic,h2o,mrrpe,587.9924730740765
resnet50-arctic,h2o,pix_err,292.9200760207261
resnet50-arctic,epic_handkps,pix_err,313.87032510695497
resnet50-arctic,egoexo,mpjpe,147.79917254489067
resnet50-arctic,egoexo,pix_err,203.71472190119064
resnet50-arctic,arctic,mpjpe,39.90817026474439
resnet50-arctic,arctic,mrrpe,70.49002371217937
resnet50-arctic,arctic,pix_err,10.601888553749696
resnet101,assembly,mpjpe,37.45010409102326
resnet101,assembly,mrrpe,74.12095155292775
resnet101,assembly,pix_err,6.8745068279505
resnet101,h2o,mpjpe,113.37835227034212
resnet101,h2o,mrrpe,581.8352665800343
resnet101,h2o,pix_err,287.5698837254679
resnet101,epic_handkps,pix_err,315.4272401606613
resnet101,egoexo,mpjpe,134.32496126531822
resnet101,egoexo,pix_err,207.173163804096
resnet101,arctic,mpjpe,36.529114443815104
resnet101,arctic,mrrpe,64.21976665319583
resnet101,arctic,pix_err,10.727428680839829
mobilenet_v3_l,assembly,mpjpe,48.30405273126642
mobilenet_v3_l,assembly,mrrpe,89.79576239596197
mobilenet_v3_l,assembly,pix_err,8.578943573326255
mobilenet_v3_l,h2o,mpjpe,48.78299981464935
mobilenet_v3_l,h2o,mrrpe,85.3617736114356
mobilenet_v3_l,h2o,pix_err,10.537538832847009
mobilenet_v3_l,epic_handkps,pix_err,10.692215546504388
mobilenet_v3_l,egoexo,mpjpe,116.90565318093296
mobilenet_v3_l,egoexo,pix_err,26.020264196012462
mobilenet_v3_l,arctic,mpjpe,36.07234595221381
mobilenet_v3_l,arctic,mrrpe,58.40536146917886
mobilenet_v3_l,arctic,pix_err,10.037778875867586
convnext_l,assembly,mpjpe,39.64542853172964
convnext_l,assembly,mrrpe,83.1189741685793
convnext_l,assembly,pix_err,7.194065081259995
convnext_l,h2o,mpjpe,138.75053471581785
convnext_l,h2o,mrrpe,566.3840933662407
convnext_l,h2o,pix_err,268.71750646920634
convnext_l,epic_handkps,pix_err,315.64443530717824
convnext_l,egoexo,mpjpe,154.94004658435637
convnext_l,egoexo,pix_err,235.72223991356407
convnext_l,arctic,mpjpe,35.71525966595182
convnext_l,arctic,mrrpe,53.29307795695227
convnext_l,arctic,pix_err,9.91090486324386
mobilevit_s,assembly,mpjpe,38.1282314941582
mobilevit_s,assembly,mrrpe,67.48188953269354
mobilevit_s,assembly,pix_err,6.87756215457769
mobilevit_s,h2o,mpjpe,45.32464361592285
mobilevit_s,h2o,mrrpe,77.54223201594203
mobilevit_s,h2o,pix_err,10.31040124188532
mobilevit_s,epic_handkps,pix_err,12.333767894659568
mobilevit_s,egoexo,mpjpe,99.1425957216148
mobilevit_s,egoexo,pix_err,26.58305854311236
mobilevit_s,arctic,mpjpe,36.642729730990666
mobilevit_s,arctic,mrrpe,54.50324521745954
mobilevit_s,arctic,pix_err,9.347843175965682
swinv2_tiny,assembly,mpjpe,45.32078023805581
swinv2_tiny,assembly,mrrpe,74.41817980385446
swinv2_tiny,assembly,pix_err,8.152222571550666
swinv2_tiny,h2o,mpjpe,95.28843036920046
swinv2_tiny,h2o,mrrpe,288.2895505305864
swinv2_tiny,h2o,pix_err,92.2598751192698
swinv2_tiny,epic_handkps,pix_err,305.3612540396382
swinv2_tiny,egoexo,mpjpe,121.7537620203192
swinv2_tiny,egoexo,pix_err,51.24929283213508
swinv2_tiny,arctic,mpjpe,39.53874388836193
swinv2_tiny,arctic,mrrpe,63.81278782380272
swinv2_tiny,arctic,pix_err,13.0121428810898
swin_tiny,assembly,mpjpe,35.45749837625131
swin_tiny,assembly,mrrpe,74.71975424382593
swin_tiny,assembly,pix_err,7.142029871659714
swin_tiny,h2o,mpjpe,111.03840942132112
swin_tiny,h2o,mrrpe,458.9541887982495
swin_tiny,h2o,pix_err,110.4033918082031
swin_tiny,epic_handkps,pix_err,165.46979123466025
swin_tiny,egoexo,mpjpe,132.5404638974597
swin_tiny,egoexo,pix_err,70.0505082994839
swin_tiny,arctic,mpjpe,39.2655626163629
swin_tiny,arctic,mrrpe,60.82308357069463
swin_tiny,arctic,pix_err,9.85437251593568
wave_vit_s,assembly,mpjpe,34.12813129711048
wave_vit_s,assembly,mrrpe,75.0592511876837
wave_vit_s,assembly,pix_err,6.427691471633395
wave_vit_s,h2o,mpjpe,122.60474068607584
wave_vit_s,h2o,mrrpe,571.1652706795469
wave_vit_s,h2o,pix_err,256.72720030415644
wave_vit_s,epic_handkps,pix_err,314.85640440713195
wave_vit_s,egoexo,mpjpe,125.4428209154051
wave_vit_s,egoexo,pix_err,54.97617641172338
wave_vit_s,arctic,mpjpe,35.82656617380864
wave_vit_s,arctic,mrrpe,64.31686402127747
wave_vit_s,arctic,pix_err,10.389937774716994
